Product_Name,Price,Spin,Speed,Control
729 729-08ES,22.0,120.0,110.0,120.0
729 Top Point,18.0,110.0,120.0,110.0
Andro Backside 20D,29.99,103.0,85.0,97.0
Andro Chaos,29.99,73.0,75.0,87.0
Andro GTT 40,24.99,101.0,96.0,92.0
Andro GTT 45,24.99,105.0,89.0,84.0
Andro Hexer,29.99,109.0,107.0,78.0
Andro Hexer Grip,35.99,92.0,93.0,72.0
Andro Hexer Grip SFX,35.99,92.0,90.0,74.0
Andro Hexer HD,34.85,110.0,113.0,80.0
Andro Hexer Powergrip,35.99,92.0,94.0,71.0
Andro Hexer PowerGrip SFX,35.99,92.0,90.0,74.0
Andro Hexer+,29.99,108.0,109.0,79.0
Andro Impuls Speed,29.99,105.0,89.0,84.0
Andro Plasma 380,29.99,101.0,96.0,92.0
Andro Plasma 430,29.99,103.0,105.0,80.0
Andro Plasma 470,29.99,105.0,110.0,75.0
Andro Plaxon 350,26.99,101.0,96.0,92.0
Andro Plaxon 400,26.99,103.0,105.0,80.0
Andro Plaxon 450,26.99,105.0,110.0,75.0
Andro Plaxon 525,26.99,105.0,110.0,75.0
Andro Rasanter R37,39.99,126.0,113.0,91.0
Andro Rasanter R42 ,39.99,126.0,117.0,88.0
Andro Rasanter R47 ,39.99,126.0,120.0,85.0
Andro Rasanter R50,39.99,126.0,124.0,82.0
Andro Rasanter R53 ,45.99,127.0,129.0,89.0
Andro Rasanter V42,39.99,124.0,120.0,90.0
Andro Rasanter V47,39.99,124.0,126.0,87.0
Andro Revo Fire,27.99,102.0,101.0,84.0
Andro Rocket Medium,23.99,100.0,97.0,87.0
Andro Roxon 450,35.99,105.0,110.0,75.0
Andro Roxon 500 Pro,35.99,107.0,115.0,74.0
Andro Shifter Powersponge,32.99,106.0,92.0,95.0
Butterfly Bryce,66.99,95.0,120.0,80.74248927038627
Butterfly Bryce FX,66.99,95.0,120.0,80.74248927038627
Butterfly Bryce HighSpeed,62.99,103.0,145.0,80.74248927038627
Butterfly Bryce Speed,75.99,97.0,140.0,80.74248927038627
Butterfly Bryce Speed FX,75.99,97.0,140.0,80.74248927038627
Butterfly Challenger Attack,37.99,65.0,95.0,80.74248927038627
Butterfly Dignics 05 ,93.99,120.0,135.0,80.74248927038627
Butterfly Dignics 09C ,93.99,130.0,130.0,80.74248927038627
Butterfly Dignics 64,93.99,110.0,140.0,80.74248927038627
Butterfly Dignics 80 ,93.99,117.0,137.0,80.74248927038627
Butterfly Feint AG,59.99,40.0,70.0,80.74248927038627
Butterfly Feint Long II,29.99,32.0,62.0,80.74248927038627
Butterfly Feint Long II OX,29.99,32.0,62.0,80.74248927038627
Butterfly Feint Long III,32.99,40.0,60.0,80.74248927038627
Butterfly Feint Long III OX,32.99,40.0,60.0,45.0
Butterfly Feint OX,26.99,35.0,45.0,80.74248927038627
Butterfly Feint Soft,30.99,35.0,55.0,80.74248927038627
Butterfly Flarestorm II,66.99,67.0,117.0,80.74248927038627
Butterfly Flextra,19.99,87.0,82.0,80.74248927038627
Butterfly Impartial XB,52.24,67.0,119.0,80.74248927038627
Butterfly Impartial XS,54.99,79.0,122.0,80.74248927038627
Butterfly Orthodox OX,19.99,42.0,60.0,80.74248927038627
Butterfly Raystorm,53.99,70.0,97.0,80.74248927038627
Butterfly Roundell,54.99,102.0,128.0,80.74248927038627
Butterfly Roundell Hard,54.99,102.0,128.0,80.74248927038627
Butterfly Roundell Soft,54.99,102.0,128.0,80.74248927038627
Butterfly Rozena ,39.99,108.0,130.0,80.74248927038627
Butterfly Sapphira,27.99,85.0,87.0,80.74248927038627
Butterfly Speedy P.O.,38.99,60.0,100.0,80.74248927038627
Butterfly Spin Art,71.24,115.0,119.0,80.74248927038627
Butterfly Sriver ,32.99,80.0,100.0,80.74248927038627
Butterfly Sriver EL,32.99,80.0,100.0,80.74248927038627
Butterfly Sriver FX,32.99,80.0,100.0,80.74248927038627
Butterfly Super Anti,27.99,30.0,40.0,80.74248927038627
Butterfly Tackifire Drive,36.99,92.0,90.0,80.74248927038627
Butterfly Tackiness Chop,34.99,100.0,65.0,88.0
Butterfly Tackiness Chop II,44.99,100.0,75.0,80.74248927038627
Butterfly Tackiness Drive,34.99,90.0,85.0,80.74248927038627
Butterfly Tenergy 05 ,79.99,115.0,130.0,80.74248927038627
Butterfly Tenergy 05 Hard ,79.99,115.0,130.0,80.74248927038627
Butterfly Tenergy 05-FX ,79.99,115.0,130.0,80.74248927038627
Butterfly Tenergy 25,79.99,110.0,132.0,80.74248927038627
Butterfly Tenergy 25-FX,79.99,110.0,132.0,80.74248927038627
Butterfly Tenergy 64,79.99,105.0,135.0,80.74248927038627
Butterfly Tenergy 64-FX,79.99,105.0,135.0,80.74248927038627
Butterfly Tenergy 80 ,79.99,112.0,132.0,80.74248927038627
Butterfly Tenergy 80-FX,79.99,112.0,132.0,80.74248927038627
DHS C8 ,13.95,94.74772036474164,98.04129793510324,80.74248927038627
DHS Gold Arc 8 - 47.5 Hardness,44.95,94.0,93.0,69.0
DHS Gold Arc 8 - 50 Hardness,44.95,94.0,93.0,69.0
DHS Hurricane 3 National,65.99,94.74772036474164,98.04129793510324,80.74248927038627
DHS Hurricane 3 Neo ,21.95,120.0,120.0,100.0
DHS Hurricane 3 Neo Provincial,47.99,94.74772036474164,98.04129793510324,80.74248927038627
DHS Hurricane 3 Provincial - Blue Sponge,49.99,94.74772036474164,98.04129793510324,80.74248927038627
DHS Hurricane 3 Provincial - Yellow Spon...,47.99,94.74772036474164,98.04129793510324,80.74248927038627
DHS Hurricane 3-50 Soft,29.95,92.0,90.0,73.0
DHS Hurricane 8 Mid,35.99,98.0,92.0,74.0
DHS Skyline 3-60 - Mid-Hard,29.95,95.0,86.0,70.0
DHS Skyline 3-60 - Mid-Soft,29.95,95.0,86.0,70.0
DHS TG Skyline 2,14.99,110.0,90.0,100.0
DHS TG Skyline 3 Neo,19.95,120.0,120.0,110.0
DHS TinArc 3 - Mid-Hard,29.99,88.0,87.0,74.0
DHS TinArc 3 - Soft,29.99,88.0,87.0,76.0
DHS TinArc 5 - Soft,29.99,94.0,96.0,74.0
Donic Acuda Blue P1,44.95,104.0,102.0,69.0
Donic Acuda Blue P1 Turbo,49.95,108.0,106.0,70.0
Donic Acuda Blue P2,44.95,106.0,98.0,75.0
Donic Acuda Blue P3,39.95,106.0,90.0,80.0
Donic Acuda S1,28.95,97.0,96.0,68.0
Donic Acuda S1 Turbo,39.95,107.0,107.0,60.0
Donic Acuda S2,28.95,98.0,92.0,69.0
Donic Acuda S3,28.95,100.0,100.0,60.0
Donic Baracuda,43.95,98.0,91.0,71.0
Donic Baracuda Big Slam,43.95,100.0,90.0,73.0
Donic Bluefire Big Slam,42.75,106.0,94.0,80.0
Donic Bluefire JP 01,36.95,105.0,102.0,70.0
Donic Bluefire JP 01 Turbo,39.95,98.0,97.0,67.0
Donic Bluefire JP 03,36.95,105.0,95.0,65.0
Donic Bluefire M1,42.75,107.0,107.0,60.0
Donic Bluefire M1 Turbo,42.75,98.0,98.0,66.0
Donic Bluefire M2,42.75,107.0,97.0,70.0
Donic Bluefire M3,42.75,107.0,90.0,77.0
Donic BlueGrip R1,39.99,97.0,94.0,68.0
Donic BlueGrip V1,39.95,94.74772036474164,98.04129793510324,80.74248927038627
Donic Bluestorm Big Slam,44.95,94.74772036474164,98.04129793510324,80.74248927038627
Donic Bluestorm Z1,39.95,97.0,97.0,69.0
Donic Bluestorm Z1 Turbo,49.95,97.0,98.0,67.0
Donic Bluestorm Z2,45.65,97.0,95.0,70.0
Donic Bluestorm Z3,45.65,97.0,91.0,73.0
Donic Desto F3 Big Slam,37.95,94.0,85.0,72.0
Donic Spike P1,24.95,94.74772036474164,35.0,35.0
Donic Twister LB,28.95,94.74772036474164,57.0,80.0
Donic Vario Big Slam,34.95,94.74772036474164,80.0,78.0
Gambler Big Gun,14.0,95.0,96.0,80.0
Gambler Big Gun Oh-Toro,15.0,94.74772036474164,98.0,85.0
Gambler Burst Oh-Toro,15.0,94.74772036474164,90.0,91.0
Gambler GXL,14.0,55.0,55.0,94.0
Gambler GXM Oh-Toro ,15.0,70.0,70.0,94.0
Gambler GXS Oh-Toro ,15.0,84.0,98.0,84.0
Gambler Mech-Tek Oh-Toro,15.0,94.74772036474164,94.0,88.0
Gambler Vintage,14.0,30.0,55.0,80.74248927038627
Gambler Volt-T Oh-Toro,18.0,94.74772036474164,96.0,87.0
Gambler X3 Diamond Oh-Toro,15.0,94.74772036474164,98.0,88.0
GEWO Flexxon,34.99,111.0,117.0,88.0
GEWO Hype EL Pro 40.0,49.99,122.0,110.0,102.0
GEWO Hype EL Pro 42.5,49.99,120.0,115.0,97.0
GEWO Hype EL Pro 47.5,49.99,120.0,122.0,92.0
GEWO Hype KR Pro 47.5,49.99,121.0,124.0,92.0
GEWO Hype XT Pro 40.0,49.99,124.0,113.0,105.0
GEWO Hype XT Pro 50.0,49.99,122.0,125.0,93.0
GEWO Mega Flex Control,19.99,97.0,88.0,99.0
GEWO nanoFLEX FT 40,42.99,115.0,108.0,99.0
GEWO nanoFLEX FT 45,42.99,115.0,113.0,95.0
GEWO nanoFLEX FT 48,42.99,115.0,120.0,91.0
GEWO Neoflexx eFT 40,37.99,110.0,93.0,100.0
GEWO Neoflexx eFT 45,37.99,110.0,96.0,97.0
GEWO Neoflexx eFT 48,37.99,110.0,103.0,90.0
GEWO Nexxus EL Pro 38,57.99,127.0,109.0,101.0
GEWO Nexxus EL Pro 43,57.99,128.0,118.0,96.0
GEWO Nexxus EL Pro 48,49.99,128.0,118.0,96.0
GEWO Nexxus EL Pro 50 Hard,57.99,120.0,180.0,80.74248927038627
GEWO Nexxus EL Pro 53 Hard,49.99,124.0,133.0,83.0
GEWO Nexxus XT Pro 48,57.99,123.0,126.0,90.0
GEWO Nexxus XT Pro 50 Hard,49.99,110.0,182.0,80.74248927038627
GEWO Proton Neo 325,27.99,108.0,102.0,103.0
GEWO Proton Neo 375,27.99,105.0,105.0,101.0
GEWO Proton Neo 450,27.99,105.0,108.0,96.0
GEWO Proton Neo 475,29.99,104.0,113.0,95.0
GEWO Return Pro,34.99,102.0,89.0,99.0
JOOLA 4 You,19.95,78.0,78.0,95.0
JOOLA Axxess,29.95,99.0,84.0,80.74248927038627
JOOLA Badman Reloaded,49.95,55.0,63.0,100.0
JOOLA CWX,49.95,58.0,64.0,80.74248927038627
JOOLA Dynaryz ACC ,64.95,129.0,126.0,80.74248927038627
JOOLA Dynaryz AGR ,64.95,129.0,130.0,80.74248927038627
JOOLA Energy,49.95,85.0,90.0,80.0
JOOLA Energy 325,49.95,83.0,80.0,80.74248927038627
JOOLA Energy X-Tra,49.95,88.0,83.0,87.0
JOOLA Express Ultra,49.95,68.0,97.0,90.0
JOOLA Golden Tango,44.95,131.0,118.0,80.74248927038627
JOOLA Golden Tango PS,44.95,131.0,113.0,80.74248927038627
JOOLA Mambo,34.95,70.0,70.0,82.0
JOOLA Mambo H,34.95,83.0,80.0,75.0
JOOLA Maxxx 400,52.95,110.0,108.0,90.0
JOOLA Maxxx 450,52.95,113.0,111.0,82.0
JOOLA Maxxx 500,52.95,116.0,117.0,70.0
JOOLA Maxxx-P,54.95,120.0,117.0,80.0
JOOLA Novic,29.95,96.0,80.0,80.74248927038627
JOOLA Octopus,39.95,60.0,53.0,90.0
JOOLA Rhyzer 43,54.95,123.0,120.0,80.74248927038627
JOOLA Rhyzer 48,54.95,124.0,124.0,80.74248927038627
JOOLA Rhyzer Pro 45,59.95,126.0,126.0,80.74248927038627
JOOLA Rhyzer Pro 50,59.95,125.0,128.0,80.74248927038627
JOOLA Rhyzm,49.95,106.0,106.0,80.0
JOOLA Rhyzm 375,49.95,107.0,98.0,90.0
JOOLA Rhyzm 425,49.95,105.0,104.0,86.0
JOOLA Rhyzm Tech,54.95,120.0,119.0,80.74248927038627
JOOLA Rhyzm-P ,54.95,120.0,121.0,80.0
JOOLA Samba,33.96,85.0,63.0,84.0
JOOLA Samba 19,44.95,96.0,108.0,80.74248927038627
JOOLA Samba 27,44.95,94.0,117.0,80.74248927038627
JOOLA Samba Plus,44.95,100.0,78.0,80.0
JOOLA Samba Tech,54.95,111.0,104.0,80.74248927038627
JOOLA Tango Ultra,44.95,75.0,73.0,80.0
JOOLA Toni Hold Antitop,59.95,55.0,48.0,95.0
JOOLA Upp,24.95,70.0,68.0,80.74248927038627
JOOLA X-Plode,49.95,95.0,97.0,85.0
JOOLA X-Plode Sensitive,49.95,93.0,88.0,90.0
JOOLA Zack,29.95,92.0,86.0,80.74248927038627
Killerspin Fortissimo,44.99,94.0,106.0,94.0
Killerspin Nitrx 4Z,27.99,90.0,87.0,87.0
Kokutaku 007 Pro Selected ,18.99,94.74772036474164,98.04129793510324,80.74248927038627
LKT Rapid Speed,13.95,100.0,90.0,80.0
Nittaku Fastarc C-1,39.99,95.0,96.0,68.0
Nittaku Fastarc G-1,39.99,96.0,95.0,68.0
Nittaku Fastarc P-1,45.99,95.0,97.0,68.0
Nittaku Fastarc S-1,39.99,94.0,97.0,68.0
Nittaku Hurricane 3 Neo (8701),49.99,94.0,91.0,87.0
Nittaku Hurricane Pro 3 Turbo - Blue Spo...,49.95,99.0,94.0,69.0
Nittaku Hurricane Pro 3 Turbo Orange,44.95,98.0,93.0,70.0
RITC 563 Tack Speed,9.95,70.0,70.0,80.0
RITC 729 729-5,14.0,110.0,120.0,120.0
RITC 729 Faster with Transcend Sponge,13.95,110.0,120.0,110.0
RITC 729 Focus 3 Snipe,14.0,110.0,120.0,110.0
RITC 729 Focus I,13.95,120.0,100.0,120.0
RITC 729 Higher Tension 1 Transcend Spon...,14.0,120.0,100.0,120.0
RITC 729 SP Transcend,13.95,92.0,93.0,91.0
RITC 802 Tack Speed Pips Out,9.95,70.0,90.0,90.0
RITC 804 Anti-Spin Rubber,9.95,0.0,50.0,90.0
RITC 837 Tack Speed Long Pips,9.95,60.0,60.0,70.0
RITC Friendship Super 729 FX,14.0,90.0,90.0,90.0
Sanwei Target 90,19.95,110.0,120.0,80.74248927038627
Sanwei Target National ,24.99,140.0,160.0,120.0
Sanwei Target Pro Blue,22.95,115.0,120.0,80.74248927038627
Stiga Airoc Astro M,36.95,97.0,99.0,65.0
Stiga Airoc M,36.95,97.0,98.0,67.0
Stiga Airoc S,36.95,98.0,94.0,68.0
Stiga Boost TX,54.95,91.0,94.0,71.0
Stiga Calibra LT,49.95,91.0,96.0,70.0
Stiga Calibra LT Sound,49.95,93.0,94.0,71.0
Stiga Calibra LT Spin,49.95,92.0,95.0,70.0
Stiga Calibra Tour M,35.95,92.0,93.0,70.0
Stiga DNA Future M ,39.95,115.0,124.0,80.74248927038627
Stiga DNA Pro H,49.95,97.0,98.0,68.0
Stiga DNA Pro M,49.95,97.0,96.0,69.0
Stiga DNA Pro S,49.95,97.0,95.0,70.0
Stiga Magna TS II,49.95,88.0,86.0,74.0
Stiga Mantra H,49.95,97.0,97.0,67.0
Stiga Mantra M,49.95,97.0,96.0,67.0
Stiga Mantra S,49.95,97.0,92.0,70.0
Tibhar Evolution EL-P,49.95,97.0,96.0,67.0
Tibhar Evolution EL-S,49.95,122.0,123.0,85.0
Tibhar Evolution FX-P,49.95,98.0,94.0,68.0
Tibhar Evolution FX-S,49.95,118.0,100.0,74.0
Tibhar Evolution MX-P ,49.95,96.0,98.0,67.0
Tibhar Evolution MX-P 50,49.95,99.0,102.0,65.0
Tibhar Evolution MX-S,49.99,99.0,97.0,67.0
Tibhar Grass D.TecS,49.95,80.0,56.0,84.0
Tibhar Grass D.TecS OX,49.95,80.0,56.0,84.0
Tibhar Hybrid K1 European Version,39.95,97.0,92.0,72.0
TSP Curl P1R,28.76,100.0,30.0,80.74248927038627
TSP Curl P1R OX,28.76,100.0,30.0,80.74248927038627
TSP Curl P2,28.76,72.0,30.0,80.74248927038627
TSP Curl P3,28.76,30.0,87.0,80.74248927038627
TSP Curl P3 Alpha R,28.76,90.0,30.0,80.74248927038627
TSP Curl P3 Alpha R OX,28.76,90.0,30.0,80.74248927038627
TSP Curl P3 OX,28.76,30.0,87.0,80.74248927038627
TSP Curl P4,35.06,87.0,30.0,80.74248927038627
TSP Curl P4 OX,35.06,87.0,30.0,80.74248927038627
TSP Curl PH,35.06,80.0,30.0,80.74248927038627
TSP Curl PH OX,35.06,80.0,30.0,80.74248927038627
TSP Spectol 21,34.19,70.0,100.0,80.74248927038627
TSP Spectol Blue,36.89,65.0,120.0,80.74248927038627
TSP Spectol Red,36.89,65.0,140.0,80.74248927038627
TSP Spectol Soft,34.19,62.0,100.0,80.74248927038627
TSP Spectol Speed,34.19,62.0,120.0,80.74248927038627
TSP Spinpips Blue,40.49,82.0,120.0,80.74248927038627
TSP Spinpips Red,40.49,82.0,87.0,80.74248927038627
TSP Super Spinpips,36.89,82.0,90.0,80.74248927038627
TSP Super Spinpips 21,36.89,82.0,87.0,80.74248927038627
TSP Super Spinpips Chop,36.89,82.0,80.0,80.74248927038627
TSP Super Spinpips Chop 2,38.69,90.0,80.0,80.74248927038627
Victas V>15 Extra,44.99,96.0,98.0,75.0
Victas V>15 Limber,44.99,96.0,92.0,75.0
Victas V>15 Stiff,44.99,98.0,92.0,78.0
Victas VJ>07 Limber,47.99,94.74772036474164,181.0,80.74248927038627
Victas VJ>07 Regular,44.99,125.0,180.0,80.74248927038627
Victas VJ>07 Stiff,47.99,94.74772036474164,98.04129793510324,80.74248927038627
Victas VJC>07 Sticky Extra,49.99,94.74772036474164,180.0,80.74248927038627
Victas VLB>301,39.99,100.0,175.0,80.74248927038627
Victas VO>101,44.99,52.0,100.0,80.74248927038627
Victas VO>102,44.99,65.0,100.0,80.74248927038627
Victas VO>103,44.99,100.0,175.0,80.74248927038627
Victas VS>401,47.99,86.0,90.0,91.0
XIOM Omega IV Asia,46.95,120.0,130.0,80.74248927038627
XIOM Omega IV Elite,46.95,125.0,118.0,80.74248927038627
XIOM Omega IV Euro,37.95,93.0,88.0,71.0
XIOM Omega IV Pro,39.95,91.0,90.0,71.0
XIOM Omega V Asia,51.99,91.0,96.0,88.0
XIOM Omega V Euro,41.95,97.0,94.0,67.0
XIOM Omega V Pro,44.95,96.0,98.0,67.0
XIOM Omega V Tour,44.95,98.0,96.0,67.0
XIOM Omega VII Asia,44.99,96.0,95.0,67.0
XIOM Omega VII Euro,64.99,98.0,94.0,67.0
XIOM Omega VII Hyper ,69.99,98.0,93.0,92.0
XIOM Omega VII Pro,44.99,97.0,96.0,67.0
XIOM Omega VII Tour,44.99,98.0,97.0,67.0
XIOM Sigma II Euro,44.95,96.0,93.0,67.0
XIOM Sigma II Pro,41.99,94.0,98.0,68.0
XIOM Vega Asia,36.99,100.0,130.0,80.74248927038627
XIOM Vega Asia DF,38.99,92.0,89.0,84.0
XIOM Vega China VM,38.99,92.0,89.0,84.0
XIOM Vega Def,38.99,89.0,77.0,84.0
XIOM Vega Elite,36.99,110.0,125.0,80.74248927038627
XIOM Vega Europe ,32.6,91.0,85.0,73.0
XIOM Vega Europe DF,38.99,92.0,86.0,85.0
XIOM Vega Intro,27.99,88.0,83.0,90.0
XIOM Vega Japan,38.99,120.0,140.0,80.74248927038627
XIOM Vega LPO,36.99,0.0,40.0,80.74248927038627
XIOM Vega Pro,32.6,89.0,87.0,73.0
XIOM Vega SPO,36.99,70.0,120.0,80.74248927038627
XIOM Vega Tour,44.99,91.0,89.0,72.0
XIOM Vega X ,39.95,92.0,91.0,91.0
XIOM Yanus DF,35.99,100.0,90.0,80.74248927038627
Yasaka A1 Pips out,12.95,46.0,58.0,92.0
Yasaka Anti-Power,26.0,28.0,62.0,73.0
Yasaka Cobalt Pips Out,18.95,59.0,68.0,85.0
Yasaka Fusion,24.95,91.0,94.0,77.0
Yasaka Mark V ,28.3,90.0,90.0,78.0
Yasaka Mark V HPS,35.9,100.0,100.0,60.0
Yasaka Mark V HPS Soft,35.9,100.0,98.0,65.0
Yasaka Mark V M2,29.2,91.0,92.0,80.0
Yasaka Mark V XS,29.2,91.0,94.0,81.0
Yasaka Original,17.25,72.0,72.0,88.0
Yasaka Original Extra XHG,17.3,78.0,79.0,83.0
Yasaka Phantom 0011 Infinity,20.95,43.0,43.0,58.0
Yasaka Phantom 0012 Infinity,19.95,43.0,40.0,51.0
Yasaka Pryde 30,28.95,95.0,92.0,71.0
Yasaka Rakza 7 ,34.15,95.0,94.0,67.0
Yasaka Rakza 7 Soft ,34.15,96.0,93.0,68.0
Yasaka Rakza 9,38.4,105.0,102.0,60.0
Yasaka Rakza PO,39.85,70.0,93.0,78.0
Yasaka Rakza X,41.15,95.0,94.0,71.0
Yasaka Rakza X Soft,41.15,96.0,93.0,71.0
Yasaka Rakza Z ,41.15,99.0,94.0,91.0
Yasaka Rakza Z Extra Hard ,41.15,93.0,98.0,83.0
Yasaka Rigan,27.95,99.0,98.0,66.0
Yasaka Rigan Spin,31.25,95.0,89.0,91.0
Yasaka Rising Dragon,36.95,98.0,92.0,97.0
Yasaka Shining Dragon,29.95,93.0,89.0,95.0
Yasaka Valmo,29.95,90.0,99.0,86.0
Yasaka X-Tend HS,34.95,98.0,92.0,76.0
Yasaka X-Tend LB ,14.95,120.0,110.0,80.0
Yasaka X-Tend PO ,14.95,65.0,92.0,76.0
Yasaka X-Tend SD,33.95,120.0,110.0,80.0
